Provider,Zip Code,CPT,Service,Cash Price,Insurance Price,Comparison Statistics,TQH Name,TQH Address
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 10061,Drainage Of Skin Abscess,$143.54,"{'AETNA 2021': '$298.37', 'BEECH STREET': '$435.76', 'BLUE CROSS MCS 2021': '$354.35', 'BLUE CROSS NON-MCS 2021': '$354.35', 'BLUE SHIELD EPN': '$361.43', 'BLUE SHIELD NON-EPN': '$425.00', 'CHOICECARE': '$420.38', 'CIGNA': '$304.52', 'FIRST HEALTH': '$399.87', 'HEALTHNET': '$273.76', 'MULTIPLAN': '$425.51', 'PACIFIC HEALTH ALLIANCE': '$497.28', 'PHCS PPO': '$333.23', 'PREFERRED HEALTH NETWORK': '$487.03', 'WESTERN GROWERS 2021': '$235.82'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 36415,Venipuncture (Blood Collection),$2.38,"{'AETNA 2021': '$10,705.00', 'BEECH STREET': '$7.40', 'BLUE CROSS MCS 2021': '$6.02', 'BLUE CROSS NON-MCS 2021': '$6.02', 'BLUE SHIELD EPN': '$4.56', 'BLUE SHIELD NON-EPN': '$5.00', 'CHOICECARE': '$7.14', 'CIGNA': '$5.17', 'FIRST HEALTH': '$6.79', 'HEALTHNET': '$4.65', 'MULTIPLAN': '$7.23', 'PACIFIC HEALTH ALLIANCE': '$8.45', 'PHCS PPO': '$5.66', 'PREFERRED HEALTH NETWORK': '$8.27', 'UHC ALL PAYER': '$12.00', 'UHC NETWORK ONLY': '$3.60', 'WESTERN GROWERS 2021': '$4.01'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,MSDRG 690,Kidney And Urinary Tract Infections,"$6,385.18","{'AETNA 2021': '$14,350.00', 'BEECH STREET': '$15,962.95', 'BLUE CROSS MCS 2021': '$14,316.00', 'BLUE CROSS NON-MCS 2021': '$11,930.00', 'BLUE SHIELD EPN': '$6,890.00', 'BLUE SHIELD NON-EPN': '$7,826.00', 'CHOICECARE': '$6,771.00', 'CIGNA': '$13,545.70', 'FIRST HEALTH': '$11,858.19', 'HEALTHNET': '$29,887.63', 'INTERPLAN': '$4,733.87', 'MULTIPLAN': '$18,927.50', 'PACIFIC HEALTH ALLIANCE': '$22,120.08', 'PHCS PPO': '$6,200.00', 'PREFERRED HEALTH NETWORK': '$21,664.00', 'UHC ALL PAYER': '$16,100.09', 'UHC NETWORK ONLY': '$11,791.84', 'WESTERN GROWERS 2021': '$9,924.90'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 70491,"CT Scan, Soft Tissue Neck; With Contrast Material(S)","$1,160.33","{'AETNA 2021': '$1,945.00', 'BEECH STREET': '$3,522.43', 'BLUE CROSS MCS 2021': '$2,197.00', 'BLUE CROSS NON-MCS 2021': '$2,197.00', 'BLUE SHIELD EPN': '$2,167.33', 'BLUE SHIELD NON-EPN': '$2,378.68', 'CHOICECARE': '$3,398.11', 'CIGNA': '$2,461.56', 'FIRST HEALTH': '$3,232.35', 'HEALTHNET': '$2,212.92', 'MULTIPLAN': '$3,439.55', 'PACIFIC HEALTH ALLIANCE': '$4,019.72', 'PHCS PPO': '$2,693.63', 'PREFERRED HEALTH NETWORK': '$3,936.84', 'UHC ALL PAYER': '$2,197.00', 'UHC NETWORK ONLY': '$401.50', 'WESTERN GROWERS 2021': '$1,906.26'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 72190,"X-Ray Pelvis, 3 Or More Views",$165.72,"{'AETNA 2021': '$120.47', 'BEECH STREET': '$503.06', 'BLUE CROSS MCS 2021': '$184.89', 'BLUE CROSS NON-MCS 2021': '$154.08', 'BLUE SHIELD EPN': '$309.53', 'BLUE SHIELD NON-EPN': '$339.72', 'CHOICECARE': '$485.31', 'CIGNA': '$351.55', 'FIRST HEALTH': '$461.64', 'HEALTHNET': '$316.04', 'MULTIPLAN': '$491.23', 'PACIFIC HEALTH ALLIANCE': '$574.08', 'PHCS PPO': '$384.70', 'PREFERRED HEALTH NETWORK': '$562.25', 'UHC NETWORK ONLY': '$69.76', 'WESTERN GROWERS 2021': '$272.25'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 74170,CT Scan Of Abdomen Without & With Contrast Material,"$1,373.90","{'AETNA 2021': '$1,945.00', 'BEECH STREET': '$4,170.78', 'BLUE CROSS MCS 2021': '$2,197.00', 'BLUE CROSS NON-MCS 2021': '$2,197.00', 'BLUE SHIELD EPN': '$2,566.26', 'BLUE SHIELD NON-EPN': '$2,816.50', 'CHOICECARE': '$4,023.58', 'CIGNA': '$2,914.64', 'FIRST HEALTH': '$3,827.30', 'HEALTHNET': '$2,620.23', 'MULTIPLAN': '$4,072.64', 'PACIFIC HEALTH ALLIANCE': '$4,759.60', 'PHCS PPO': '$3,189.42', 'PREFERRED HEALTH NETWORK': '$4,661.46', 'UHC ALL PAYER': '$2,197.00', 'UHC NETWORK ONLY': '$476.06', 'WESTERN GROWERS 2021': '$2,257.13'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 73220,"MRI Scan Of Shoulder, Arm, Or Hand With And Without Contrast","$2,158.79","{'AETNA 2021': '$5,017.00', 'BEECH STREET': '$6,553.47', 'BLUE CROSS MCS 2021': '$1,574.97', 'BLUE CROSS NON-MCS 2021': '$1,312.47', 'BLUE SHIELD EPN': '$4,032.31', 'BLUE SHIELD NON-EPN': '$4,425.52', 'CHOICECARE': '$6,322.18', 'CIGNA': '$4,579.72', 'FIRST HEALTH': '$6,013.78', 'HEALTHNET': '$4,117.12', 'INTERPLAN': '$790.00', 'MULTIPLAN': '$6,399.28', 'PACIFIC HEALTH ALLIANCE': '$7,478.67', 'PHCS PPO': '$5,011.48', 'PREFERRED HEALTH NETWORK': '$7,324.47', 'UHC ALL PAYER': '$2,337.00', 'UHC NETWORK ONLY': '$798.14', 'WESTERN GROWERS 2021': '$3,546.59'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 73050,X-Ray Shoulder (AC Joint),$248.75,"{'AETNA 2021': '$107.13', 'BEECH STREET': '$755.12', 'BLUE CROSS MCS 2021': '$184.89', 'BLUE CROSS NON-MCS 2021': '$154.08', 'BLUE SHIELD EPN': '$464.62', 'BLUE SHIELD NON-EPN': '$509.93', 'CHOICECARE': '$728.47', 'CIGNA': '$527.70', 'FIRST HEALTH': '$692.94', 'HEALTHNET': '$474.39', 'MULTIPLAN': '$737.36', 'PACIFIC HEALTH ALLIANCE': '$861.73', 'PHCS PPO': '$577.45', 'PREFERRED HEALTH NETWORK': '$843.96', 'UHC NETWORK ONLY': '$69.76', 'WESTERN GROWERS 2021': '$408.65'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 80053,"Blood Test, Comprehensive Group Of Blood Chemicals",$126.66,"{'AETNA 2021': '$52.75', 'BEECH STREET': '$7.89', 'BLUE CROSS MCS 2021': '$102.05', 'BLUE CROSS NON-MCS 2021': '$85.05', 'BLUE SHIELD EPN': '$4.85', 'BLUE SHIELD NON-EPN': '$5.33', 'CHOICECARE': '$7.61', 'CIGNA': '$5.51', 'FIRST HEALTH': '$7.24', 'HEALTHNET': '$4.96', 'MULTIPLAN': '$7.70', 'PACIFIC HEALTH ALLIANCE': '$9.00', 'PHCS PPO': '$6.03', 'PREFERRED HEALTH NETWORK': '$8.82', 'UHC ALL PAYER': '$57.48', 'UHC NETWORK ONLY': '$17.24', 'WESTERN GROWERS 2021': '$4.27'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
CENTRAL VALLEY GENERAL HOSPITAL,93230,HCPCS 83935,Urine Osmolality (Concentration) Measurement,$1.69,"{'AETNA 2021': '$34.03', 'BEECH STREET': '$83.98', 'BLUE CROSS MCS 2021': '$65.76', 'BLUE CROSS NON-MCS 2021': '$54.80', 'BLUE SHIELD EPN': '$51.67', 'BLUE SHIELD NON-EPN': '$56.71', 'CHOICECARE': '$81.02', 'CIGNA': '$58.69', 'FIRST HEALTH': '$77.06', 'HEALTHNET': '$52.76', 'MULTIPLAN': '$82.00', 'PACIFIC HEALTH ALLIANCE': '$95.84', 'PHCS PPO': '$64.22', 'PREFERRED HEALTH NETWORK': '$93.86', 'UHC ALL PAYER': '$37.12', 'UHC NETWORK ONLY': '$11.14', 'WESTERN GROWERS 2021': '$45.45'}","{'BY GEOGRAPHY': '34.4% lower', 'BY MARKET': '52.8% lower', 'BY CARE QUALITY': '17.9% lower'}","['Adventist Health Hanford', '115 Mall Drive, Hanford, CA, 93230']"
